Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
6.355,2.782,0.466,102,0.07,0,0.01,0,10.96,3
1.096,2.982,2.478,112,1.34,10.69,0.07,0.8,7.06,14
0.026,0.022,0.097,36,1.79,8.39,4.74,2.2,0.24,14
2.787,4.559,3.905,144,2.92,6.9,0.26,0.2,11.71,14
0.005,0.038,0.003,3,0.31,0,0,0,0.05,1
3.164,1.494,0.249,59,1.41,1.94,1.86,0,5.18,1
0,0,0,96,0,24.9,24.95,0,0.08,1
0.007,0.04,0.004,3,0.33,0,0,0,0.05,1
4.219,1.992,0.332,79,1.88,2.58,2.48,0,6.9,1
0.117,0.218,0.387,115,3.01,24.12,0.66,1,0.88,3
0.068,0.039,0.257,8,0.83,0.51,0.08,0.4,0.49,3
0.006,0.001,0.003,3,0.05,1.07,0.39,0,0.04,3
0.015,0.002,0.013,6,0.26,1.45,0.67,0.2,0.04,9
1.593,1.562,3.317,64,0.29,0.47,0.31,0,6.87,9
1.972,10.999,4.804,309,3.71,31.22,0.19,1.8,19.71,14
6.814,6.598,13.898,277,1.53,2.85,2.12,0.1,29.01,14
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
1.196,1.666,0.455,98,15.11,1.32,1.32,0,3.69,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,5
0.047,0.119,0.108,6,0.07,0.83,0.01,0.1,0.3,9
0,0,0.001,1,0.02,0.39,0.3,0,0,9
6.884,10.577,25.735,425,1.7,2.59,2.2,0.4,45.31,4
0.012,0.003,0.041,6,0.6,1.09,0.34,0.5,0.08,4
0.533,0.913,0.316,55,9.04,0,0,0,2.15,4
4.715,1.9,0.312,104,5.77,1.41,0.76,0,8.37,4
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.015,0.021,0.066,83,0.89,21.65,16.25,2.3,0.2,10
0.023,0.065,0.233,48,1.01,11.52,7.34,3,0.45,10
0.026,0.002,0.041,17,0.42,4.15,4.01,0.4,0.09,10
0.005,0.007,0.022,27,0.29,7.1,5.33,0.8,0.07,10
0.019,0.002,0.03,18,0.28,4.62,4.13,0.4,0.07,10
0.027,0.003,0.024,34,0.35,8.91,7.62,0.4,0.08,10
0.39,0.343,0.904,153,5.98,26.62,3.21,2.2,2.54,5
0.761,0.962,0.86,89,12.44,1.85,0.76,0,3.17,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
3.822,1.525,0.239,83,5.67,0.3,0,0,6.51,5
0.004,0.002,0.007,2,0,0.54,0,0,0,1
1.418,0.525,0.082,46,2.5,3.56,3.67,0,2.44,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.195,0.171,0.452,77,2.99,13.31,1.6,1.1,1.27,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
4.032,1.562,0.248,86,4.89,0.51,0.07,0,7.14,5
24.444,10.688,1.627,745,12.6,84.96,76.39,2.5,39.6,8
0.049,0.074,0.131,17,0.32,3.16,0.24,0.1,0.28,8
11.377,9.796,1.841,490,29.56,30.72,4.82,1.1,26.75,5
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0.004,0.002,0.007,2,0,0.54,0,0,0,1
2.031,0.732,0.106,92,6.13,8.99,8.95,0,3.48,1
3.648,10.318,10.444,432,9.21,42.52,2.55,2.5,25.58,9
1.598,1.565,3.317,65,0.34,0.52,0.37,0,6.88,9
1.84,5.164,5.185,214,3.64,21.28,1.53,1.2,12.76,9
0.533,0.522,1.106,22,0.11,0.18,0.12,0,2.29,9
1.954,0.4,0.476,252,2.82,54.51,28.04,1.6,3.06,2
1.675,0.619,0.094,127,9.97,15.3,14.62,0,2.8,2
11.893,6.342,3.779,502,20.45,46.1,3.92,3.4,25.9,11
0.007,0.006,0.024,9,0.45,2.1,1.19,0.6,0.06,11
1.139,5.244,0.976,87,1.12,4.85,0.52,3.7,7.86,11
0.006,0.008,0.009,10,0.18,2.67,2.14,0.4,0.03,10
0.002,0.007,0.026,5,0.11,1.28,0.82,0.3,0.05,10
0.009,0.001,0.008,11,0.12,3.02,2.58,0.2,0.03,10
0.007,0.05,0.003,3,0.4,0,0,0,0.07,1
0.791,1.201,1.881,75,0.21,10.52,9.91,0.3,4.05,1
0,0,0,4,0.01,0.89,0.85,0,0,1
0.269,0.552,0.142,68,1.18,12.58,0.97,1.2,1.44,3
1.595,7.349,1.362,120,1.5,6.4,0.5,5,11,3
1.933,10.215,1.473,124,0,0,0,0,14,3
0.383,0.337,0.888,151,5.86,26.12,3.15,2.2,2.49,3
1.602,0.743,0.095,23,0.15,0,0,0,2.57,3
10.465,4.535,0.718,406,5.04,60.04,40.86,1.3,16.93,8
1.011,3.77,1.805,81,2.61,2.8,0.6,1,7.14,8
0.003,0.003,0.004,11,0.01,2.75,2.54,0.2,0.01,8
1.271,2.69,0.678,122,1.44,19.17,10.98,0.6,4.89,8
0,0,0.099,7,0.2,1.24,0.4,0.1,0.15,8
0.896,1.805,3.433,150,2.26,21.61,0.25,1.7,6.59,14
0.02,0.017,0.073,27,1.35,6.29,3.56,1.7,0.18,14
5.48,2.396,0.42,130,6.82,3.75,2.64,0,9.77,14
0.005,0.002,0.01,2,0,0.72,0,0,0,1
0,0,0,4,0.01,0.89,0.85,0,0,1
0.236,0.209,0.498,78,2.74,14.03,2.04,0.5,1.1,3
0.564,0.903,1.236,25,0.01,0.04,0,0,2.79,3
0.451,0.394,1.028,148,5.18,27.03,2.93,1.3,1.97,3
6.355,2.782,0.466,102,0.07,0,0.01,0,10.96,3
0,0,0,20,0.02,5.49,5.48,0,0,3
0.004,0.002,0.008,2,0,0.59,0,0,0,1
0,0,0,0,0,0.11,0.1,0,0,1
0.992,1.077,1.892,92,2.05,11.14,0.85,0.4,4.26,3
0.059,0.109,0.194,58,1.51,12.06,0.33,0.5,0.44,3
0.07,0.07,0.116,83,1.47,20.25,6.91,2,0.3,2
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,2
2.74,1.482,0.811,96,3.12,8.32,1.46,0.3,5.57,5
3.398,1.67,0.831,107,3.88,7.65,0.84,0.3,6.72,5
0.026,0.03,0.1,66,1.42,14.8,0.19,3,0.23,3
6.632,6.019,12.168,264,3.2,3.81,1.22,1,26.56,3
1.428,7.964,3.478,223,2.68,22.61,0.14,1.3,14.27,14
9.587,9.387,19.904,390,2.02,3.14,2.23,0.2,41.25,14
0.816,4.551,1.988,128,1.53,12.92,0.08,0.7,8.16,14
2.555,2.474,5.212,104,0.57,1.07,0.79,0,10.88,14
0.005,0.003,0.01,3,0,0.77,0,0,0,1
0,0,0,32,0,8.3,8.32,0,0.03,1
0.004,0,0.004,6,0.2,1.23,0,0,0.01,1
0.189,0.069,0.011,8,0.54,0.79,0.8,0,0.32,1
0.078,0.145,0.258,77,2.01,16.08,0.44,0.7,0.59,3
0.006,0.065,0.023,2,0.11,0.13,0.04,0.1,0.09,3
0.509,0.882,0.989,66,1.32,10.29,0.06,1.6,2.58,3
2.121,0.928,0.162,50,2.64,1.45,1.02,0,3.78,3
0.527,0.444,1.159,183,8.86,31.03,3.18,4.3,2.56,5
2.069,2.875,1.285,79,2.9,1.77,0.55,0,6.66,5
0.627,0.823,0.305,59,9.35,0.15,0,0,2.09,5
0.694,0.284,0.038,38,5.96,0.71,0.28,0,1.07,5
0.009,0.004,0.022,4,0,0.87,0,0,0,1
0,0,0,7,0,1.82,1.61,0,0,1
0.014,0.005,0.046,18,0.42,4.31,2.13,1.3,0.11,9
0.341,0.451,1.263,21,0.07,0.29,0.23,0,2.18,9
0.094,0.101,0.137,69,2.75,13.62,2.19,0.4,0.34,3
2.397,0.981,0.142,33,0.04,0,0,0,3.79,3
0.005,0.003,0.01,3,0,0.77,0,0,0,1
0,0,0,30,0.03,8.24,8.21,0,0,1
0.031,0.058,0.103,31,0.8,6.43,0.18,0.3,0.23,3
0.531,0.521,1.106,21,0.1,0.16,0.1,0,2.29,3
0.403,3.253,0.639,137,3.54,20.48,1.43,1.1,4.56,14
1.943,6.843,4.676,208,6.55,15.89,2.33,4.8,14.22,14
0,0,0,9,0.09,2.39,0.05,0,0.02,1
4.533,11.96,0.339,613,9.19,102.21,70.26,0,18.29,1
0,0,0,68,0,17.03,10.6,0,0,1
0.008,0.004,0.017,4,0,1.26,0,0,0,1
0,0,0,76,0,19.58,19.62,0,0.06,1
1.991,0.737,0.116,64,3.51,5,5.15,0,3.43,1
10.334,4.98,0.842,358,5.45,45.23,37.55,1.5,17.43,8
0,0,0,108,0,26.88,24,0,0,8
0.005,0.038,0.003,3,0.31,0,0,0,0.05,1
0.187,0.096,0.004,5,0.02,0.58,0.08,0,0.32,1
0.69,0.866,0.802,57,0.84,8.52,4.21,2.5,2.54,9
6.254,2.767,0.384,366,9.02,62.02,62.02,0,9.92,9
1.3,0.821,0.299,117,3.08,18.12,1.15,3.8,3.61,3
0.662,0.842,0.711,48,1.67,6.4,1.27,2.7,2.41,3
1.82,4.234,1.202,247,5.94,38.71,3.53,2.1,7.59,3
0.001,0.002,0.003,18,0,4.64,2.8,0,0.01,3
1.085,2.545,3.432,145,2.06,17.03,0.73,1.4,7.68,14
0.007,0.002,0.027,5,0.4,1.02,0.48,0.4,0.05,14
4.033,4.686,0.309,163,15.96,0,0,0,10.51,14
1.179,0.475,0.078,26,1.44,0.35,0.19,0,2.09,14
8.209,3.655,0.705,269,4.61,32.27,25.76,1,13.55,8
8.148,3.563,0.542,248,4.2,28.32,25.46,0.8,13.2,8
4.556,8.544,15.148,476,4.97,45.5,2.71,1.2,30.61,14
1.084,1.773,1.519,56,1.13,2.68,0.1,0.1,4.56,14
0.005,0.003,0.01,3,0,0.77,0,0,0,1
0,0,0,11,0.07,2.67,2.42,0,0,1
0.854,0.474,0.042,143,2.39,30.05,23.52,1.3,1.44,1
0.444,0.249,0.024,12,0.11,1.6,1.36,0.1,0.75,1
0.169,0.34,0.646,28,0.43,4.07,0.05,0.3,1.24,14
0.003,0.003,0.011,4,0.21,0.99,0.56,0.3,0.03,14
7.176,7.581,1.38,309,12.28,23.02,3.86,1.9,18.42,5
0.001,0.001,0.002,6,0.06,1.55,1.21,0,0.01,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
3.517,4.655,12.274,397,17.8,32.9,5.69,1.9,21.17,5
0.003,0.001,0.001,3,0.08,0.7,0.32,0.1,0.01,5
0.003,0,0.005,1,0.05,0.26,0.15,0.1,0.01,5
0.339,0.232,0.547,174,6.88,33.2,2.96,1.4,1.55,3
11.179,4.571,0.61,236,17.89,2.14,0.83,0,17.26,3
2.493,4.83,5.783,271,19.22,17.25,0.4,1.2,13.95,12
0.133,0.389,0.345,13,0.09,1.26,1.21,0.1,0.9,12
0.001,0.001,0.002,6,0.06,1.55,1.21,0,0.01,12
1.051,2.686,2.429,140,1.54,18.65,0.14,1.7,6.63,9
0.001,0.001,0.002,6,0.06,1.55,1.21,0,0.01,9
12.811,6.174,1.044,444,6.75,56.07,46.55,1.9,21.6,8
0,0,0,161,0,40.33,36,0,0,8
2.823,1.888,3.041,200,8.69,21.85,0.75,1.2,8.62,3
0.028,0.061,0.082,7,0.23,1.31,0.89,0.3,0.24,3
0.001,0,0.002,0,0,0.14,0,0,0,1
0,0,0,32,0,8.3,8.32,0,0.03,1
0.661,0.718,1.261,61,1.37,7.43,0.57,0.3,2.84,3
0.039,0.073,0.129,38,1,8.04,0.22,0.3,0.29,3
0.07,0.07,0.116,83,1.47,20.25,6.91,2,0.3,2
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,2
0.124,0.149,0.363,31,0.71,5.55,0.1,0.2,0.65,3
3.387,1.581,0.159,74,4.17,2.22,1.86,0,5.4,3
0.92,0.803,2.094,302,10.56,55.1,5.98,2.6,4.02,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0,0,0,40,0,10.46,10.48,0,0.03,1
3.164,1.494,0.249,59,1.41,1.94,1.86,0,5.18,1
0.011,0.013,0.015,18,0.3,4.5,3.61,0.6,0.06,10
0.015,0.002,0.014,19,0.2,5.09,4.35,0.3,0.05,10
0.014,0.018,0.02,24,0.4,6,4.81,0.8,0.08,10
0.006,0.016,0.058,12,0.25,2.88,1.83,0.8,0.11,10
0.02,0.003,0.018,26,0.27,6.79,5.81,0.3,0.06,10
0.011,0.018,0.055,21,0.28,5.43,3.74,0.9,0.12,10
12.031,5.261,0.801,367,6.2,41.82,37.6,1.2,19.49,8
0,0,0,161,0,40.33,36,0,0,8
16.365,21.625,60.621,1011,3.1,13.87,11.02,0,104.67,4
0.025,0.006,0.083,12,1.23,2.25,0.7,1.1,0.17,4
9.431,3.8,0.624,208,11.54,2.83,1.52,0,16.74,4
0.284,0.436,0.948,33,2.24,2,0,0.7,1.81,4
0.7,1.266,0.316,62,1.44,8.47,0.59,0.7,2.44,4
0.195,0.171,0.452,77,2.99,13.31,1.6,1.1,1.27,3
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,3
0.6,1.248,2.394,110,2.1,15.32,0.16,1,4.47,14
2.317,1.82,2.966,98,1.32,6.86,3.92,0.2,7.44,14
0.49,0.753,1.616,129,2.01,23.3,7.46,1,3.18,3
7.192,2.943,0.426,100,0.12,0.01,0.01,0,11.36,3
0.821,1.201,1.3,326,7.92,69.54,19.4,6.2,4.21,2
6.619,2.448,0.384,214,11.67,16.62,17.12,0,11.39,2
0.431,0.062,0.021,80,0.94,18.02,7.91,0.3,0.55,2
1.513,0.56,0.088,49,2.67,3.8,3.91,0,2.6,2
8.69,10.821,7.092,569,4.74,83.04,58.83,2.3,26.63,3
0.94,0.078,0.017,19,0.08,2.44,2.22,0.1,1.11,3
0.001,0.009,0.001,1,0.07,0,0,0,0.01,1
2.269,0.839,0.132,73,4,5.7,5.87,0,3.9,1
0,0,0,13,0,3.49,3.49,0,0.01,1
16.381,7.347,1.303,557,9.59,69.26,54.78,1.9,26.97,8
5.638,0.468,0.102,112,0.47,14.64,13.3,0.9,6.67,8
1.051,2.686,2.429,140,1.54,18.65,0.14,1.7,6.63,9
0.01,0.01,0.028,69,0.71,18.63,14.46,0.2,0.07,9
7.736,5.438,1.057,265,14.26,15.83,1.85,1.3,15.86,11
0.002,0.002,0.002,3,0.07,0.69,0,0,0.01,11
0,0,0.002,0,0.01,0,0,0,0,11
7.448,2.684,0.389,336,22.48,32.95,32.81,0,12.75,1
0,0,0,296,0,73.93,66,0,0,1
0,0,0,48,0,12.45,12.48,0,0.04,1
2.282,4.95,4.167,196,10.19,9.56,0.05,0.6,13.03,12
0.001,0.001,0.005,0,0.02,0.01,0,0,0.01,12
0.334,0.393,0.788,31,0.4,3.68,0.49,0.1,1.59,3
4.032,1.562,0.248,86,4.89,0.51,0.07,0,7.14,3
4.253,4.915,2.462,265,2.13,38.08,17.53,1.8,12.32,3
1.146,0.501,0.076,35,0.59,3.98,3.58,0.1,1.86,3
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0,0,0,7,0,1.82,1.61,0,0,1
0,0,0,0,0,0.02,0,0,0,1
1.142,0.036,0.013,28,0.04,4.43,3.41,0.1,1.26,1
0.658,0.394,0.515,69,1.85,11.11,0.84,0.8,1.8,11
0.539,1.355,0.656,32,1.2,1.19,0.56,0.3,2.73,11
0.725,1.984,1.84,81,0.9,8.36,0.12,0.7,5.07,9
5.455,7.208,20.205,337,1.03,4.62,3.67,0,34.89,9
0.213,0.186,0.486,70,2.45,12.79,1.39,0.6,0.93,5
0.627,0.823,0.305,59,9.35,0.15,0,0,2.09,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,5
0.005,0.025,0.002,2,0.21,0,0,0,0.03,1
0.004,0.03,0.012,1,0.02,0.07,0.04,0,0.05,1
0,0,0,5,0.01,1.37,1.37,0,0,1
15.893,6.88,1.061,594,8.28,85.43,80.44,1.5,25.66,8
1.349,5.026,2.407,107,3.48,3.74,0.8,1.3,9.52,8
3.184,3.086,0.222,280,3.68,50.32,27.86,2.2,7.12,8
2.167,0.856,0.148,34,0.27,0.86,0.86,0,3.39,8
0.006,0.016,0.058,12,0.25,2.88,1.83,0.8,0.11,8
0.675,0.611,1.627,321,11.77,59.66,5.82,2.6,3.39,3
0.219,0.257,0.234,11,0.3,0.92,0.71,0.3,0.77,3
0.022,0.008,0.069,28,0.63,6.47,3.2,1.9,0.16,9
0.341,0.451,1.263,21,0.07,0.29,0.23,0,2.18,9
0.01,0.003,0.019,19,0.1,5.03,3.79,0.9,0.06,10
0.024,0.003,0.021,30,0.32,7.92,6.77,0.4,0.07,10
0.131,0.042,0.193,33,1.23,6.89,4.29,2.6,0.46,10
0.003,0,0.002,2,0.03,0.55,0.2,0,0.02,10
0.003,0.002,0.006,2,0,0.45,0,0,0,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.169,0.061,0.009,8,0.51,0.75,0.75,0,0.29,1
0.004,0,0.004,0,0.18,0,0,0,0,1
0.576,0.228,0.039,9,0.07,0.07,0.07,0,0.9,1
0.019,0.007,0.061,25,0.56,5.75,2.84,1.7,0.14,9
0.721,2.539,1.76,77,2.43,5.89,0.88,1.8,5.31,9
5.301,8.702,2.751,305,30.39,0.16,0.16,0,20.36,12
0.042,0.047,0.041,70,1.45,15.21,0.03,0.2,0.15,12
0.007,0.004,0.018,4,0,0.72,0,0,0,1
0,0,0,10,0.01,2.75,2.74,0,0,1
1.795,0.709,0.122,34,0.53,1.82,1.49,0,2.81,4
0.044,0.011,0.15,22,2.22,4.04,1.26,1.9,0.31,4
3.237,4.172,1.388,107,5.97,0.2,0.07,0,8.97,4
0.484,0.098,0.185,218,48.44,3.88,0,1.9,0.97,1
0,0,0,0,0,0,0,0,0,1
0.06,0.102,0.314,57,0.47,13.69,9.51,3,0.72,1
0.021,0.072,0.422,59,1.35,13.43,4.97,7.3,0.73,1
0.554,0.705,1.619,93,1.88,14.73,1.75,1.8,3.21,3
9.04,3.503,0.556,192,10.97,1.15,0.16,0,16.01,3
3.261,2.243,1.629,203,16.8,13.85,1.25,1,8.44,5
0.456,0.875,1.845,33,0.23,0.63,0.61,0.1,3.32,5
0.001,0,0.003,1,0.05,0.12,0.06,0.1,0.01,5
0.395,0.504,1.156,66,1.34,10.52,1.25,1.3,2.29,3
15.84,6.138,0.974,337,19.22,2.01,0.27,0,28.05,3
2.643,2.364,1.235,121,2.56,13.5,13.5,0,6.39,2
0.016,0.03,0.033,7,0.21,1.4,0.22,0.1,0.12,2
11.005,5.304,0.897,382,5.8,48.16,39.99,1.6,18.56,8
0,0,0,121,0,30.31,27.06,0,0,8
0,0,0,0,0,0,0,0,0,1
0.002,0,0.001,1,0.02,0.41,0.15,0,0.01,1
0.265,0.223,0.584,92,4.46,15.63,1.6,2.2,1.29,3
0.564,0.903,1.236,25,0.01,0.04,0,0,2.79,3
0.006,0.045,0.003,3,0.36,0,0,0,0.06,1
1.125,0.576,0.024,31,0.15,3.48,0.46,0,1.93,1
0,0,0,241,0,62.25,62.38,0,0.2,1
5.199,33.543,12.058,821,10.34,83.52,5.19,7.7,51.44,11
0.03,0.011,0.071,11,0.4,2.28,0.8,1.3,0.2,11
3.866,20.429,2.946,248,0,0,0,0,28,4
0.02,0.005,0.07,10,1.03,1.87,0.58,0.9,0.14,4
0.009,0.001,0.016,3,0.21,0.65,0.09,0.1,0.04,4
1.14,3.826,0.315,58,0.42,3.02,0,0.8,5.45,4
0.428,0.293,0.693,220,8.71,42.02,3.74,1.8,1.96,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
0.84,1.133,2.23,98,1.18,12.56,0.1,1.3,4.74,9
0.001,0.001,0.002,6,0.06,1.55,1.21,0,0.01,9
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
10.796,6.05,3.585,910,44.27,129.32,40.48,13.5,24.65,2
0.006,0.001,0.003,18,0.2,4.76,3.91,0.3,0.02,2
0.141,0.04,0.092,112,1.37,28.78,15.41,3.3,0.42,2
0.014,0.033,0.114,30,0.52,7.29,4.81,1.6,0.23,2
0.005,0.036,0.002,2,0.29,0,0,0,0.05,1
3.164,1.494,0.249,59,1.41,1.94,1.86,0,5.18,1
0,0,0,96,0,24.9,24.95,0,0.08,1
0.056,0.1,0.116,19,0.66,3.41,0.05,0.5,0.33,2
0.407,0.228,0.135,34,1.67,4.88,1.53,0.5,0.93,2
0.032,0.066,0.251,5,0.16,0.25,0.01,0.2,0.37,2
0.032,0.066,0.251,5,0.16,0.25,0.01,0.2,0.37,2
0,0,0,5,0.01,1.37,1.37,0,0,2
0.371,0.045,0.326,890,5.49,219.09,210.64,3,1.93,1
0,0,0,0,0,0,0,0,0,1
0.297,0.45,1.062,43,0.64,6.08,1.08,0.3,1.84,3
9.792,3.794,0.602,208,11.88,1.24,0.17,0,17.34,3
0.198,0.3,0.708,29,0.43,4.06,0.72,0.2,1.22,3
6.528,2.53,0.401,139,7.92,0.83,0.11,0,11.56,3
0.993,0.462,0.701,303,4.63,66.71,24.26,2.5,2.26,2
10.589,3.917,0.615,342,18.67,26.59,27.39,0,18.22,2
0.007,0.004,0.018,4,0,0.72,0,0,0,1
0,0,0,48,0,12.45,12.48,0,0.04,1
0.004,0.011,0.039,8,0.17,1.92,1.22,0.5,0.08,10
0.004,0.007,0.007,14,0.28,3.53,2.81,0.7,0.04,10
0.013,0.002,0.012,17,0.18,4.53,3.87,0.2,0.04,10
2.151,13.88,4.99,340,4.28,34.56,2.15,3.2,21.29,11
11.832,5.174,0.906,281,14.72,8.1,5.71,0,21.1,11
0.39,0.343,0.904,153,5.98,26.62,3.21,2.2,2.54,5
2.326,1.778,2.394,275,49.81,0,0,0,8.5,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
4.004,1.838,0.189,78,5.14,0.14,0.11,0,6.36,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
0.006,0.002,0.003,6,0.17,1.4,0.64,0.3,0.02,5
5.007,10.089,19.182,841,12.65,120.73,1.39,9.6,36.84,14
1.7,5.988,4.092,182,5.73,13.9,2.04,4.2,12.44,14
2.793,5.629,10.702,469,7.06,67.36,0.78,5.4,20.55,14
1.7,5.988,4.092,182,5.73,13.9,2.04,4.2,12.44,14
3.808,5.569,14.345,262,0.54,11.74,10.89,1.5,24.42,4
0.044,0.006,0.038,18,0.77,4.31,1.98,0.6,0.13,4
0.042,0.046,0.123,27,1.31,5.77,3.9,1.8,0.3,4
4.851,4.127,3.313,400,11.45,58.64,0.86,8.7,13.72,2
14.383,5.886,0.852,201,0.24,0.02,0.02,0,22.71,2
0,0,0,52,0.02,13.49,13.34,0,0,2
0,0,0,61,0.06,16.48,16.42,0,0,2
0.834,0.983,1.971,77,1,9.2,1.23,0.3,3.97,3
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,3
0.004,0.01,0.013,8,0.16,1.95,1.6,0.1,0.04,10
0.013,0.001,0.021,9,0.21,2.11,2.04,0.2,0.05,10
0.004,0.011,0.039,8,0.17,1.92,1.22,0.5,0.08,10
0.49,0.753,1.616,129,2.01,23.3,7.46,1,3.18,3
0.539,1.355,0.656,32,1.2,1.19,0.56,0.3,2.73,3
17.968,22.816,9.776,612,22.61,9.13,4.34,0,53.9,12
0.284,0.252,0.601,94,3.3,16.92,2.46,0.6,1.32,12
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,12
0.008,0.031,0.018,20,0.06,5.26,4.37,0.2,0.07,12
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,12
0.867,1.658,3.16,71,0.12,3.56,3.17,0,6.21,4
0.002,0.001,0.008,3,0.07,0.72,0.36,0.2,0.02,4
0.003,0.002,0.006,1,0.05,0.22,0.1,0.1,0.01,4
0.342,1.148,0.094,17,0.13,0.91,0,0.2,1.64,4
0.092,0.166,0.041,8,0.19,1.11,0.08,0.1,0.32,4
0.007,0.002,0.029,5,0.42,1.09,0.51,0.5,0.05,4
0.003,0.002,0.006,2,0,0.45,0,0,0,1
0.169,0.061,0.009,8,0.51,0.75,0.75,0,0.29,1
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0.567,0.21,0.033,18,1,1.42,1.47,0,0.98,1
0.178,0.313,0.513,156,4.84,30.64,0.38,2.5,1.28,3
1.728,0.67,0.106,37,2.1,0.22,0.03,0,3.06,3
0.177,0.208,0.045,5,0.19,0.01,0,0,0.46,3
5.49,2.646,0.447,190,2.89,24.03,19.95,0.8,9.26,8
0,0,0,61,0,15.12,13.5,0,0,8
0.609,0.241,0.042,10,0.08,0.24,0.24,0,0.96,8
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,4
0.75,1.047,2.765,58,3.01,0.84,0.62,0.1,4.71,4
0.007,0.002,0.013,13,0.07,3.45,2.6,0.6,0.04,4
3.048,19.663,7.069,481,6.06,48.96,3.04,4.5,30.15,11
0.012,0.011,0.046,17,0.84,3.94,2.23,1.1,0.11,11
1.054,1.344,3.084,176,3.58,28.06,3.33,3.4,6.11,3
12.672,4.91,0.779,269,15.38,1.61,0.22,0,22.44,3
0.163,0.111,0.263,84,3.31,15.96,1.42,0.7,0.75,3
4.794,1.962,0.284,67,0.08,0.01,0.01,0,7.57,3
0,0,0,131,0,0,0,0,0,1
0.228,0.765,0.063,12,0.08,0.6,0,0.2,1.09,1
0.037,0.047,0.04,2,0.04,0.33,0.14,0.1,0.13,1
0,0,0,776,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0.064,0.014,0.089,140,0.45,34.76,30.47,0.6,0.34,1
0.735,1.129,2.425,194,3.01,34.95,11.18,1.5,4.77,3
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,3
4.848,12.192,5.904,287,10.8,10.7,5.04,2.3,24.53,3
0.018,0.031,0.096,37,0.49,9.51,6.54,1.6,0.22,10
0.035,0.005,0.032,45,0.47,11.88,10.16,0.6,0.11,10
0.007,0.05,0.003,3,0.4,0,0,0,0.07,1
0,0,0,72,0,18.68,18.71,0,0.06,1
1.687,0.863,0.036,47,0.22,5.23,0.69,0,2.9,1
0.69,0.602,1.571,227,7.92,41.33,4.49,1.9,3.02,3
5.576,2.602,0.258,151,11.09,6.68,5.05,0,8.88,3
0.005,0.002,0.01,2,0,0.72,0,0,0,1
0.284,0.105,0.016,9,0.5,0.71,0.73,0,0.49,1
6.886,5.466,2.712,330,18.97,24.97,1.47,4.6,17.55,11
0.001,0,0.003,1,0.05,0.13,0.06,0.1,0.01,11
0.006,0.007,0.019,4,0.2,0.88,0.59,0.3,0.05,11
8.818,10.903,10.687,548,17.73,46.42,8.61,2.7,32.01,5
4.732,1.907,0.313,104,5.79,1.42,0.76,0,8.4,5
0.069,0.145,0.134,49,1.16,10.44,4.31,0.9,0.66,2
0.067,0.054,0.067,51,0.77,11.91,7.56,0.7,0.3,2
