Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
4.794,1.962,0.284,67,0.08,0.01,0.01,0,7.57,3
0,0,0,181,8.5,32.01,6.38,4.3,2.13,5
2.509,3.293,1.219,237,37.41,0.61,0,0,8.36,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
5.897,2.369,0.353,131,11.84,0.29,0.24,0,9.07,5
3.749,5.51,0.987,125,5.15,1.07,0,0,10.94,12
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,12
0,0,0,3,0,0.14,0.06,0,0,4
1.349,5.026,2.407,107,3.48,3.74,0.8,1.3,9.52,4
0.003,0.001,0.002,10,0.11,2.64,2.17,0.2,0.01,4
0.022,0.013,0.084,4,0.37,0.55,0.1,0.5,0.19,4
0.512,2.583,1.108,215,2.86,40.95,15.91,3.6,5.38,2
2.485,0.91,0.139,108,7.13,10.4,10.45,0,4.26,2
1.995,2.969,7.16,147,0.38,8.68,5.89,0,12.69,4
0.005,0.002,0.007,2,0.1,0.49,0.27,0.2,0.01,4
9.064,10.214,0.945,285,13.74,2.62,0.67,0,23.96,4
0.667,0.786,1.576,61,0.8,7.36,0.98,0.3,3.17,4
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.395,0.6,0.94,38,0.1,5.26,4.96,0.2,2.03,1
12.811,6.174,1.044,444,6.75,56.07,46.55,1.9,21.6,8
0,0,0,18,0.01,4.66,3.42,0.1,0,8
0,0,0,55,1.48,12.85,11.05,2.1,0.39,10
0,0,0,10,0.01,2.75,2.74,0,0,10
0.43,0.861,1.291,337,9.23,77.7,16.16,13.6,2.77,2
0,0,0,96,0,24.9,24.95,0,0.08,2
6.429,2.378,0.373,207,11.34,16.14,16.63,0,11.06,2
0.904,2.005,0.509,90,1.24,13.74,4.93,0.6,3.62,3
4.02,0.322,0.162,92,0.6,12.24,9.03,1,4.51,3
0.632,1.274,2.423,106,1.6,15.25,0.18,1.2,4.65,14
0.016,0.014,0.061,23,1.12,5.26,2.97,1.4,0.15,14
2.915,4.511,11.017,221,2.07,9.65,7.79,0,19.29,4
3.948,6.765,2.343,411,66.97,0,0,0,15.9,4
